state_name,state_abbr,place_name
New York,NY,New York
California,CA,Los Angeles
Illinois,IL,Chicago
Texas,TX,Houston
Arizona,AZ,Phoenix
Pennsylvania,PA,Philadelphia
Texas,TX,San Antonio
California,CA,San Diego
Texas,TX,Dallas
California,CA,San Jose
Texas,TX,Austin
Florida,FL,Jacksonville
Texas,TX,Fort Worth
Ohio,OH,Columbus
North Carolina,NC,Charlotte
California,CA,San Francisco
Indiana,IN,Indianapolis
Washington,WA,Seattle
Colorado,CO,Denver
District of Columbia,DC,Washington
Massachusetts,MA,Boston
Texas,TX,El Paso
Tennessee,TN,Nashville
Michigan,MI,Detroit
Oklahoma,OK,Oklahoma City
Oregon,OR,Portland
Nevada,NV,Las Vegas
Tennessee,TN,Memphis
Kentucky,KY,Louisville
Maryland,MD,Baltimore
Wisconsin,WI,Milwaukee
New Mexico,NM,Albuquerque
Arizona,AZ,Tucson
California,CA,Fresno
Arizona,AZ,Mesa
California,CA,Sacramento
Georgia,GA,Atlanta
Missouri,MO,Kansas City
Colorado,CO,Colorado Springs
Nebraska,NE,Omaha
North Carolina,NC,Raleigh
Florida,FL,Miami
California,CA,Long Beach
Virginia,VA,Virginia Beach
California,CA,Oakland
Minnesota,MN,Minneapolis
Oklahoma,OK,Tulsa
Florida,FL,Tampa
Texas,TX,Arlington
Louisiana,LA,New Orleans
Kansas,KS,Wichita
California,CA,Bakersfield
Ohio,OH,Cleveland
Colorado,CO,Aurora
California,CA,Anaheim
Hawaii,HI,Urban Honolulu
California,CA,Santa Ana
California,CA,Riverside
Texas,TX,Corpus Christi
Kentucky,KY,Lexington
Nevada,NV,Henderson
California,CA,Stockton
Minnesota,MN,St. Paul
Ohio,OH,Cincinnati
Missouri,MO,St. Louis
Pennsylvania,PA,Pittsburgh
North Carolina,NC,Greensboro
Nebraska,NE,Lincoln
Alaska,AK,Anchorage
Texas,TX,Plano
Florida,FL,Orlando
California,CA,Irvine
New Jersey,NJ,Newark
North Carolina,NC,Durham
California,CA,Chula Vista
Ohio,OH,Toledo
Indiana,IN,Fort Wayne
Florida,FL,St. Petersburg
Texas,TX,Laredo
New Jersey,NJ,Jersey City
Arizona,AZ,Chandler
Wisconsin,WI,Madison
Texas,TX,Lubbock
Arizona,AZ,Scottsdale
Nevada,NV,Reno
New York,NY,Buffalo
Arizona,AZ,Gilbert
Arizona,AZ,Glendale
Nevada,NV,North Las Vegas
North Carolina,NC,Winston
Virginia,VA,Chesapeake
Virginia,VA,Norfolk
California,CA,Fremont
Texas,TX,Garland
Texas,TX,Irving
Florida,FL,Hialeah
Virginia,VA,Richmond
Idaho,ID,Boise City
Washington,WA,Spokane
Louisiana,LA,Baton Rouge
Washington,WA,Tacoma
California,CA,San Bernardino
California,CA,Modesto
California,CA,Fontana
Iowa,IA,Des Moines
California,CA,Moreno Valley
California,CA,Santa Clarita
North Carolina,NC,Fayetteville
Alabama,AL,Birmingham
California,CA,Oxnard
New York,NY,Rochester
Florida,FL,Port St. Lucie
Michigan,MI,Grand Rapids
Alabama,AL,Huntsville
Utah,UT,Salt Lake City
Texas,TX,Frisco
New York,NY,Yonkers
Texas,TX,Amarillo
California,CA,Glendale
California,CA,Huntington Beach
Texas,TX,McKinney
Alabama,AL,Montgomery
Georgia,GA,Augusta
Illinois,IL,Aurora
Ohio,OH,Akron
Arkansas,AR,Little Rock
Arizona,AZ,Tempe
Georgia,GA,Columbus
Kansas,KS,Overland Park
Texas,TX,Grand Prairie
Florida,FL,Tallahassee
Florida,FL,Cape Coral
Alabama,AL,Mobile
Tennessee,TN,Knoxville
Louisiana,LA,Shreveport
Massachusetts,MA,Worcester
California,CA,Ontario
Washington,WA,Vancouver
South Dakota,SD,Sioux Falls
Tennessee,TN,Chattanooga
Texas,TX,Brownsville
Florida,FL,Fort Lauderdale
Rhode Island,RI,Providence
Virginia,VA,Newport News
California,CA,Rancho Cucamonga
California,CA,Santa Rosa
Arizona,AZ,Peoria
California,CA,Oceanside
California,CA,Elk Grove
Oregon,OR,Salem
Florida,FL,Pembroke Pines
Oregon,OR,Eugene
California,CA,Garden Grove
North Carolina,NC,Cary
Colorado,CO,Fort Collins
California,CA,Corona
Missouri,MO,Springfield
Mississippi,MS,Jackson
Virginia,VA,Alexandria
California,CA,Hayward
Tennessee,TN,Clarksville
Colorado,CO,Lakewood
California,CA,Lancaster
California,CA,Salinas
California,CA,Palmdale
Florida,FL,Hollywood
Massachusetts,MA,Springfield
Georgia,GA,Macon
Kansas,KS,Kansas City
California,CA,Sunnyvale
California,CA,Pomona
Texas,TX,Killeen
California,CA,Escondido
Texas,TX,Pasadena
Illinois,IL,Naperville
Washington,WA,Bellevue
Illinois,IL,Joliet
Tennessee,TN,Murfreesboro
Texas,TX,Midland
Illinois,IL,Rockford
New Jersey,NJ,Paterson
Georgia,GA,Savannah
Connecticut,CT,Bridgeport
California,CA,Torrance
Texas,TX,McAllen
New York,NY,Syracuse
Arizona,AZ,Surprise
Texas,TX,Denton
California,CA,Roseville
Colorado,CO,Thornton
Florida,FL,Miramar
California,CA,Pasadena
Texas,TX,Mesquite
Kansas,KS,Olathe
Ohio,OH,Dayton
Texas,TX,Carrollton
Texas,TX,Waco
California,CA,Orange
California,CA,Fullerton
South Carolina,SC,Charleston
Utah,UT,West Valley City
California,CA,Visalia
Virginia,VA,Hampton
Florida,FL,Gainesville
Michigan,MI,Warren
Florida,FL,Coral Springs
Iowa,IA,Cedar Rapids
Texas,TX,Round Rock
Michigan,MI,Sterling Heights
Washington,WA,Kent
South Carolina,SC,Columbia
California,CA,Santa Clara
Connecticut,CT,New Haven
Connecticut,CT,Stamford
California,CA,Concord
New Jersey,NJ,Elizabeth
Georgia,GA,Athens
California,CA,Thousand Oaks
Louisiana,LA,Lafayette
California,CA,Simi Valley
Kansas,KS,Topeka
Oklahoma,OK,Norman
North Dakota,ND,Fargo
North Carolina,NC,Wilmington
Texas,TX,Abilene
Texas,TX,Odessa
Missouri,MO,Columbia
Texas,TX,Pearland
California,CA,Victorville
Connecticut,CT,Hartford
California,CA,Vallejo
Pennsylvania,PA,Allen
California,CA,Berkeley
Texas,TX,Richardson
Colorado,CO,Arvada
Michigan,MI,Ann Arbor
Minnesota,MN,Rochester
